Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
SplitConformal,sudden,0.843,129.5,0.122,0.0077,0.001
NExConformal,sudden,0.894,123.7,0.051,0.0031,0.001
FACI,sudden,0.891,123.4,0.046,0.0030,0.001
ScaleFreeOGD,sudden,0.053,1.0,0.846,0.4780,0.001
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,0.001
FACI_S,sudden,0.896,124.9,0.044,0.0030,0.001
SAOCP,sudden,0.392,24.9,0.508,0.1544,0.001
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,0.001
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,0.001
SplitConformal,gradual,0.826,153.1,0.102,0.0045,0.001
NExConformal,gradual,0.895,159.7,0.041,0.0012,0.001
FACI,gradual,0.896,160.3,0.042,0.0012,0.001
ScaleFreeOGD,gradual,0.024,1.0,0.876,0.6191,0.001
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,0.001
FACI_S,gradual,0.898,160.6,0.038,0.0013,0.001
SAOCP,gradual,0.359,52.5,0.542,0.1516,0.001
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,0.001
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,0.001
