Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret
SplitConformal,sudden,0.843,129.5,0.122,0.0077
NExConformal,sudden,0.894,123.7,0.051,0.0031
FACI,sudden,0.891,123.4,0.046,0.0030
ScaleFreeOGD,sudden,0.431,28.0,0.470,0.1380
SimpleOGD,sudden,0.899,125.0,0.041,0.0031
FACI_S,sudden,0.896,124.9,0.044,0.0030
SAOCP,sudden,0.709,80.5,0.207,0.0241
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034
SplitConformal,gradual,0.826,153.1,0.102,0.0045
NExConformal,gradual,0.895,159.7,0.041,0.0012
FACI,gradual,0.896,160.3,0.042,0.0012
ScaleFreeOGD,gradual,0.294,36.5,0.610,0.1824
SimpleOGD,gradual,0.900,161.8,0.026,0.0018
FACI_S,gradual,0.898,160.6,0.038,0.0013
SAOCP,gradual,0.740,129.7,0.171,0.0146
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022
