Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
SplitConformal,sudden,0.843,129.5,0.122,0.0077,0.001
SplitConformal,sudden,0.843,129.5,0.122,0.0077,0.01
SplitConformal,sudden,0.843,129.5,0.122,0.0077,0.1
SplitConformal,sudden,0.843,129.5,0.122,0.0077,1
SplitConformal,sudden,0.843,129.5,0.122,0.0077,10
SplitConformal,sudden,0.843,129.5,0.122,0.0077,100
SplitConformal,sudden,0.843,129.5,0.122,0.0077,1000
NExConformal,sudden,0.894,123.7,0.051,0.0031,0.001
NExConformal,sudden,0.894,123.7,0.051,0.0031,0.01
NExConformal,sudden,0.894,123.7,0.051,0.0031,0.1
NExConformal,sudden,0.894,123.7,0.051,0.0031,1
NExConformal,sudden,0.894,123.7,0.051,0.0031,10
NExConformal,sudden,0.894,123.7,0.051,0.0031,100
NExConformal,sudden,0.894,123.7,0.051,0.0031,1000
FACI,sudden,0.891,123.4,0.046,0.0030,0.001
FACI,sudden,0.891,123.4,0.046,0.0030,0.01
FACI,sudden,0.891,123.4,0.046,0.0030,0.1
FACI,sudden,0.891,123.4,0.046,0.0030,1
FACI,sudden,0.891,123.4,0.046,0.0030,10
FACI,sudden,0.891,123.4,0.046,0.0030,100
FACI,sudden,0.891,123.4,0.046,0.0030,1000
ScaleFreeOGD,sudden,0.053,1.0,0.846,0.4780,0.001
ScaleFreeOGD,sudden,0.431,28.0,0.470,0.1380,0.01
ScaleFreeOGD,sudden,0.891,137.4,0.082,0.0055,0.1
ScaleFreeOGD,sudden,0.899,123.7,0.038,0.0031,1
ScaleFreeOGD,sudden,0.900,138.8,0.013,0.0129,10
ScaleFreeOGD,sudden,0.900,168.0,0.004,0.1463,100
ScaleFreeOGD,sudden,0.900,179.5,0.003,1.6681,1000
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,0.001
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,0.01
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,0.1
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,1
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,10
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,100
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,1000
FACI_S,sudden,0.896,124.9,0.044,0.0030,0.001
FACI_S,sudden,0.896,124.9,0.044,0.0030,0.01
FACI_S,sudden,0.896,124.9,0.044,0.0030,0.1
FACI_S,sudden,0.896,124.9,0.044,0.0030,1
FACI_S,sudden,0.896,124.9,0.044,0.0030,10
FACI_S,sudden,0.896,124.9,0.044,0.0030,100
FACI_S,sudden,0.896,124.9,0.044,0.0030,1000
SAOCP,sudden,0.392,24.9,0.508,0.1544,0.001
SAOCP,sudden,0.709,80.5,0.207,0.0241,0.01
SAOCP,sudden,0.857,112.9,0.058,0.0042,0.1
SAOCP,sudden,0.887,119.9,0.040,0.0035,1
SAOCP,sudden,0.916,142.4,0.028,0.0129,10
SAOCP,sudden,0.953,183.4,0.054,0.1561,100
SAOCP,sudden,0.950,188.0,0.052,1.9396,1000
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,0.001
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,0.01
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,0.1
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,1
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,10
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,100
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,1000
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,0.001
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,0.01
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,0.1
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,1
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,10
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,100
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,1000
